2021-10-02 03:15:57,381 INFO: Opening input stream.
2021-10-02 03:15:59,345 INFO: ('2021-10-02T08:15:59.345284', 1136)
2021-10-02 03:15:59,375 INFO: ('2021-10-02T08:15:59.375564', 1136)
2021-10-02 03:15:59,395 INFO: ('2021-10-02T08:15:59.395533', 1136)
2021-10-02 03:15:59,425 INFO: ('2021-10-02T08:15:59.425525', 1136)
2021-10-02 03:15:59,455 INFO: ('2021-10-02T08:15:59.455831', 1136)
2021-10-02 03:15:59,475 INFO: ('2021-10-02T08:15:59.475296', 1136)
2021-10-02 03:15:59,505 INFO: ('2021-10-02T08:15:59.505300', 1136)
2021-10-02 03:15:59,525 INFO: ('2021-10-02T08:15:59.525266', 1136)
2021-10-02 03:15:59,555 INFO: ('2021-10-02T08:15:59.555939', 1136)
2021-10-02 03:15:59,586 INFO: ('2021-10-02T08:15:59.586573', 1136)
2021-10-02 03:15:59,606 INFO: ('2021-10-02T08:15:59.606484', 1136)
2021-10-02 03:15:59,635 INFO: ('2021-10-02T08:15:59.634830', 1136)
2021-10-02 03:15:59,655 INFO: ('2021-10-02T08:15:59.655847', 1136)
2021-10-02 03:15:59,684 INFO: ('2021-10-02T08:15:59.684991', 1136)
2021-10-02 03:15:59,706 INFO: ('2021-10-02T08:15:59.706008', 1136)
2021-10-02 03:15:59,735 INFO: ('2021-10-02T08:15:59.735313', 1136)
2021-10-02 03:15:59,765 INFO: ('2021-10-02T08:15:59.765343', 1136)
2021-10-02 03:15:59,785 INFO: ('2021-10-02T08:15:59.785075', 1136)
2021-10-02 03:15:59,815 INFO: ('2021-10-02T08:15:59.815604', 1136)
2021-10-02 03:15:59,835 INFO: ('2021-10-02T08:15:59.835146', 1136)
2021-10-02 03:15:59,865 INFO: ('2021-10-02T08:15:59.865896', 1136)
2021-10-02 03:15:59,885 INFO: ('2021-10-02T08:15:59.885435', 1136)
2021-10-02 03:15:59,916 INFO: ('2021-10-02T08:15:59.916201', 1136)
2021-10-02 03:15:59,945 INFO: ('2021-10-02T08:15:59.945997', 1136)
2021-10-02 03:15:59,965 INFO: ('2021-10-02T08:15:59.965624', 1136)
2021-10-02 03:15:59,995 INFO: ('2021-10-02T08:15:59.995485', 1136)
2021-10-02 03:16:00,015 INFO: ('2021-10-02T08:16:00.015856', 1136)
2021-10-02 03:16:00,045 INFO: ('2021-10-02T08:16:00.045224', 1136)
2021-10-02 03:16:00,065 INFO: ('2021-10-02T08:16:00.065525', 1136)
2021-10-02 03:16:00,095 INFO: ('2021-10-02T08:16:00.095305', 1136)
2021-10-02 03:16:00,125 INFO: ('2021-10-02T08:16:00.125897', 1136)
2021-10-02 03:16:00,145 INFO: ('2021-10-02T08:16:00.145091', 1136)
2021-10-02 03:16:00,175 INFO: ('2021-10-02T08:16:00.175904', 1136)
2021-10-02 03:16:00,194 INFO: ('2021-10-02T08:16:00.194927', 1136)
2021-10-02 03:16:00,225 INFO: ('2021-10-02T08:16:00.225393', 1136)
2021-10-02 03:16:00,255 INFO: ('2021-10-02T08:16:00.255424', 1136)
2021-10-02 03:16:00,275 INFO: ('2021-10-02T08:16:00.275305', 1136)
2021-10-02 03:16:00,305 INFO: ('2021-10-02T08:16:00.305622', 1136)
2021-10-02 03:16:00,325 INFO: ('2021-10-02T08:16:00.325551', 1136)
2021-10-02 03:16:00,355 INFO: ('2021-10-02T08:16:00.355335', 1136)
2021-10-02 03:16:00,375 INFO: ('2021-10-02T08:16:00.375865', 1136)
2021-10-02 03:16:00,405 INFO: ('2021-10-02T08:16:00.405395', 1136)
2021-10-02 03:16:00,435 INFO: ('2021-10-02T08:16:00.435854', 1136)
2021-10-02 03:16:00,456 INFO: ('2021-10-02T08:16:00.456012', 1136)
2021-10-02 03:16:00,485 INFO: ('2021-10-02T08:16:00.485482', 1136)
2021-10-02 03:16:00,506 INFO: ('2021-10-02T08:16:00.506063', 1136)
2021-10-02 03:16:00,535 INFO: ('2021-10-02T08:16:00.535691', 1136)
2021-10-02 03:16:00,555 INFO: ('2021-10-02T08:16:00.555427', 1136)
2021-10-02 03:16:00,585 INFO: ('2021-10-02T08:16:00.585528', 1136)
2021-10-02 03:16:00,615 INFO: ('2021-10-02T08:16:00.615510', 1136)
2021-10-02 03:16:00,635 INFO: ('2021-10-02T08:16:00.635609', 1136)
2021-10-02 03:16:00,665 INFO: ('2021-10-02T08:16:00.665304', 1136)
2021-10-02 03:16:00,685 INFO: ('2021-10-02T08:16:00.685712', 1136)
2021-10-02 03:16:00,715 INFO: ('2021-10-02T08:16:00.715476', 1136)
2021-10-02 03:16:00,735 INFO: ('2021-10-02T08:16:00.735874', 1136)
2021-10-02 03:16:00,765 INFO: ('2021-10-02T08:16:00.765513', 1136)
2021-10-02 03:16:00,795 INFO: ('2021-10-02T08:16:00.795319', 1136)
2021-10-02 03:16:00,815 INFO: ('2021-10-02T08:16:00.815609', 1136)
2021-10-02 03:16:00,845 INFO: ('2021-10-02T08:16:00.845349', 1136)
2021-10-02 03:16:00,865 INFO: ('2021-10-02T08:16:00.865347', 1136)
2021-10-02 03:16:00,896 INFO: ('2021-10-02T08:16:00.896152', 1136)
2021-10-02 03:16:00,915 INFO: ('2021-10-02T08:16:00.915611', 1136)
2021-10-02 03:16:00,945 INFO: ('2021-10-02T08:16:00.945048', 1136)
2021-10-02 03:16:00,975 INFO: ('2021-10-02T08:16:00.975446', 1136)
2021-10-02 03:16:00,994 INFO: ('2021-10-02T08:16:00.994966', 1136)
2021-10-02 03:16:01,025 INFO: ('2021-10-02T08:16:01.025960', 1136)
2021-10-02 03:16:01,045 INFO: ('2021-10-02T08:16:01.045419', 1136)
2021-10-02 03:16:01,075 INFO: ('2021-10-02T08:16:01.075582', 1136)
2021-10-02 03:16:01,105 INFO: ('2021-10-02T08:16:01.105989', 1136)
2021-10-02 03:16:01,125 INFO: ('2021-10-02T08:16:01.125429', 1136)
2021-10-02 03:16:01,155 INFO: ('2021-10-02T08:16:01.155126', 1136)
2021-10-02 03:16:01,175 INFO: ('2021-10-02T08:16:01.175459', 1136)
2021-10-02 03:16:01,205 INFO: ('2021-10-02T08:16:01.205400', 1136)
2021-10-02 03:16:01,226 INFO: ('2021-10-02T08:16:01.226040', 1136)
2021-10-02 03:16:01,256 INFO: ('2021-10-02T08:16:01.256015', 1136)
2021-10-02 03:16:01,285 INFO: ('2021-10-02T08:16:01.285893', 1136)
2021-10-02 03:16:01,305 INFO: ('2021-10-02T08:16:01.305461', 1136)
2021-10-02 03:16:01,335 INFO: ('2021-10-02T08:16:01.335446', 1136)
